home_rank_id,away_rank_id,season,month,dayofweek,home_defense,home_midfield,home_attack,away_defense,away_midfield,away_attack,is_cup_game,attendance,lineup_goals_diff,lineup_assists_diff,lineup_yellow_diff,lineup_red_diff,pos_diff,lineup_age_diff,lineup_market_value_diff,result_num,home_draw_rate_5,away_draw_rate_5,rank_diff_abs,rank_closeness,home_win_rate_5,country_France,country_Germany,country_Italy,country_Netherlands,country_Portugal,country_Spain,country_Türkiye,country_europa,type_domestic_league,type_international_cup,type_other,round_knockout,round_league,round_rounds
351,1,2013,1,2,4,4,2,4,5,1,0,11.009571856042939,-4.622727272727273,-6.927272727272727,-2.0636363636363635,-0.045454545454545414,9.0,-1.2181818181818187,-8707454.545454545,-1,0.2,0.2,350,0.002849002849002849,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
17,417,2013,1,5,4,2,4,4,4,2,0,11.297824485299204,6.072727272727272,4.790909090909091,1.9363636363636363,0.0,-6.0,-0.4363636363636303,5731090.909090909,0,0.2,0.2,400,0.0024937655860349127,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
236,1,2013,1,4,4,4,2,4,2,4,0,10.896943008505334,-4.701298701298701,-6.370129870129869,-2.33982683982684,-0.045454545454545414,3.0,0.6103896103896105,-7134025.974025973,-1,0.2,0.0,235,0.00423728813559322,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
356,22,2013,1,5,4,4,2,4,3,3,0,10.003378135350923,-4.174603174603174,-2.9365079365079367,-3.333333333333333,0.0,13.0,-0.03968253968254487,-5521746.031746032,1,0.2,0.2,334,0.0029850746268656717,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
325,119,2013,1,6,4,2,4,4,2,4,0,10.808879103541283,-2.8095238095238093,-2.095238095238095,-2.8015873015873014,0.0,11.0,0.48412698412698063,638253.9682539683,-1,0.2,0.2,206,0.004830917874396135,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
259,17,2013,1,4,4,4,2,4,2,4,0,10.057323897250996,-6.03030303030303,-4.303030303030304,-2.4191919191919196,0.0,15.0,-1.3838383838383876,-8647373.737373738,-1,0.2,0.2,242,0.00411522633744856,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
31,209,2013,1,6,4,3,3,4,3,3,0,10.499242387087424,2.333333333333333,1.619047619047619,3.0476190476190474,0.0,-3.0,-0.2857142857142847,865714.2857142854,-1,0.2,0.2,178,0.00558659217877095,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
25,313,2013,1,5,4,3,3,4,3,3,0,10.494048144320972,2.8014354066985643,2.3062200956937797,3.076555023923445,0.0,-10.0,0.6220095693779868,3782009.5693779904,1,0.2,0.2,288,0.0034602076124567475,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
242,2,2013,1,5,5,4,1,4,3,3,0,8.81314100828505,-7.46969696969697,-3.186868686868687,-3.737373737373737,-0.045454545454545414,19.0,0.36363636363636687,-6796010.101010101,-1,0.2,0.2,240,0.004149377593360996,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
293,28,2013,1,6,4,4,2,4,3,3,0,9.598794951250941,-1.8571428571428572,-0.19047619047619047,-1.8095238095238098,0.0,11.0,1.3809523809523796,-2874095.2380952383,-1,0.2,0.2,265,0.0037593984962406013,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False
